Variant,Score,ScoreDiff,Probability,Generation
C,1.25,-0.1,0.0422072504131,38047
C,1.25,-0.1,0.0422072504131,38048
C,1.25,-0.25,0.00656082462135,38049
C,1.25,-0.25,0.00656082462135,38050
C,1.25,-0.1,0.0422072504131,38051
B,1.15,0.0,0.0422072504131,38052
B,1.15,-0.15,0.0209871613723,38053
B,1.15,-0.15,0.0209871613723,38054
B,1.15,0.1,0.18932421675,38055
B,1.15,0.1,0.18932421675,38056
B,1.15,-0.15,0.0209871613723,38057
B,1.15,0.1,0.18932421675,38058
B,1.15,-0.15,0.0209871613723,38059
B,1.15,0.1,0.18932421675,38060
B,1.15,-0.15,0.0209871613723,38061
B,1.15,0.1,0.18932421675,38062
C,1.25,0.0,0.18932421675,38063
C,1.25,-0.25,0.00656082462135,38064
C,1.25,-0.1,0.0422072504131,38065
C,1.25,-0.1,0.0422072504131,38066
C,1.25,-0.25,0.00656082462135,38067
C,1.25,-0.1,0.0422072504131,38068
C,1.25,-0.1,0.0422072504131,38069
C,1.25,-0.25,0.00656082462135,38070
C,1.25,-0.1,0.0422072504131,38071
C,1.25,-0.25,0.00656082462135,38072
C,1.25,-0.1,0.0422072504131,38073
C,1.25,-0.25,0.00656082462135,38074
C,1.25,-0.1,0.0422072504131,38075
C,1.25,-0.1,0.0422072504131,38076
C,1.25,-0.1,0.0422072504131,38077
C,1.25,-0.25,0.00656082462135,38078
C,1.25,-0.25,0.00656082462135,38079
C,1.25,-0.25,0.00656082462135,38080
C,1.25,-0.25,0.00656082462135,38081
C,1.25,-0.1,0.0422072504131,38082
C,1.25,-0.1,0.0422072504131,38083
C,1.25,-0.1,0.0422072504131,38084
C,1.25,-0.25,0.00656082462135,38085
C,1.25,-0.25,0.00656082462135,38086
C,1.25,-0.25,0.00656082462135,38087
C,1.25,-0.25,0.00656082462135,38088
C,1.25,-0.1,0.0422072504131,38089
C,1.25,-0.1,0.0422072504131,38090
C,1.25,-0.25,0.00656082462135,38091
C,1.25,-0.1,0.0422072504131,38092
C,1.25,-0.25,0.00656082462135,38093
C,1.25,-0.25,0.00656082462135,38094
C,1.25,-0.1,0.0422072504131,38095
C,1.25,-0.25,0.00656082462135,38096
C,1.25,-0.1,0.0422072504131,38097
C,1.25,-0.1,0.0422072504131,38098
C,1.25,-0.1,0.0422072504131,38099
C,1.25,-0.1,0.0422072504131,38100
C,1.25,-0.1,0.0422072504131,38101
C,1.25,-0.25,0.00656082462135,38102
C,1.25,-0.1,0.0422072504131,38103
C,1.25,-0.1,0.0422072504131,38104
C,1.25,-0.25,0.00656082462135,38105
C,1.25,-0.1,0.0422072504131,38106
C,1.25,-0.25,0.00656082462135,38107
